  , H                     , Zn                    , Zn(OH)2(aq)           , Zn(OH)3-              , Zn(OH)4--             , ZnOH+                 , Zn++                  , Na+               , NO3-              , Fe+++                 , Fe++                  , O2(aq)            , H_sorbed             , Zn_sorbed
 0, 9.999999999999999e-06 , 1e-07                 , 1.813505366090861e-15 , 7.349990948801437e-22 , 2.7351872885715046e-29, 5.6323585057657926e-12, 9.960327396019113e-08 , 0.0999877981223431, 0.1000000031975435, 2.5958389766151062e-09, 2.9324029589485202e-12, 0.0002464700291695, 0.000127188565677    , 3.91114169326836e-10
 1, 5.623413251903491e-06 , 1e-07                 , 5.691547356653092e-15 , 4.10058831687228e-21  , 2.7126531672337914e-28, 9.943835111303375e-12 , 9.892119223822453e-08 , 0.0999930555988685, 0.1000000031975435, 4.620979893909367e-10 , 9.279570431135717e-13 , 0.0002464700286683, 0.0001095689558792   , 1.06888039484837e-09
 2, 3.162277660168379e-06 , 1e-07                 , 1.7670335195939315e-14, 2.2639709955358447e-20, 2.6633558838592053e-27, 1.7360334152946446e-11, 9.71143112962894e-08  , 0.0999960162429682, 0.1000000031975435, 8.216810421115609e-11 , 2.9343190474707986e-13, 0.0002464700285096, 9.31074622286358e-05 , 2.86833248157554e-09
 3, 1.7782794100389227e-06, 1e-07                 , 5.3265250976367545e-14, 1.21386687539907e-19  , 2.5399806524891518e-26, 2.942092004240765e-11 , 9.25295351862908e-08  , 0.0999976906088575, 0.1000000031975435, 1.4601591740678162e-11, 9.274815732763422e-14 , 0.0002464700284593, 7.80846391996251e-05 , 7.4410114486924e-09
 4, 1e-06                 , 1e-07                 , 1.494178049862346e-13 , 6.057491659711942e-19 , 2.254839096765399e-25 , 4.639286849022674e-11 , 8.201852510180007e-08 , 0.099998652182849 , 0.1000000031975435, 2.593641832069593e-12 , 2.9307480957392735e-14, 0.0002464700284436, 6.45977919898359e-05 , 1.79349512105075e-08
 5, 5.62341325190349e-07  , 1e-07                 , 3.612368113439047e-13 , 2.6055286314398273e-18, 1.7255674906536614e-24, 6.304163764799462e-11 , 6.264332830885362e-08 , 0.0999992270174443, 0.1000000031975435, 4.605426269765342e-13 , 9.258736274131151e-15 , 0.0002464700284388, 5.26250947281005e-05 , 3.729328326299e-08
 6, 3.162277660168379e-07 , 1e-07                 , 6.9419129820405e-13   , 8.909221898057629e-18 , 1.0498630020220358e-23, 6.808600997840956e-11 , 3.802318140733636e-08 , 0.0999995901116532, 0.1000000031975435, 8.175221477812505e-14 , 2.924409437637558e-15 , 0.0002464700284374, 4.2082543799348e-05  , 6.19080474261166e-08
 7, 1.7782794100389227e-07, 1e-07                 , 1.0523420749974422e-12, 2.403388610397989e-17 , 5.039916212299565e-23 , 5.8000162600835003e-11, 1.8201758188700884e-08, 0.0999998283421615, 0.1000000031975435, 1.4507086682035807e-14, 9.23475323043884e-16  , 0.0002464700284369, 3.28525853732496e-05 , 8.17391938066612e-08
 8, 1e-07                 , 1e-07                 , 1.3542804614993025e-12, 5.5049509082655635e-17, 2.0546155784408276e-22, 4.1937559985560535e-11, 7.394512961203651e-09 , 0.1000000013195937, 0.1000000031975435, 2.573042968746684e-15 , 2.915209999527184e-16 , 0.0002464700284368, 2.47775136634612e-05 , 9.25621970802664e-08
 9, 5.6234132519034905e-08, 1e-07                 , 1.6005790970821682e-12, 1.158225636217164e-16 , 7.695583737263003e-22 , 2.7842009847249165e-11, 2.7576295870445355e-09, 0.1000001664380925, 0.1000000031975435, 4.560723857056761e-16 , 9.198725519922363e-17 , 0.0002464700284366, 1.76627929782486e-05 , 9.72129284729326e-08
