sim,specified_pH,input_Zn_mol_L,time_days,pH,TOT-H+,TOT-Zn++,TOT-Na+,TOT-NO3-,TOT-Fe+++,TOT-O2(aq),SURF-H+,SURF-Zn++,SURF-Na+,SURF-NO3-,SURF-Fe+++,SURF-O2(aq),H+,Zn++,Na+,NO3-,Fe+++,O2(aq),Fe++,OH-,Zn(OH)2(aq),Zn(OH)3-,Zn(OH)4--,ZnOH+,>FeOH_str,>FeOH_weak,>FeO-_str,>FeOH2+_str,>FeOHZn+_str,>FeO-_w,>FeOH2+_w,>FeOHZn+_w
ph5p00_zn1e-07,5.0,1e-07,365.0,4.99635179188942,1.21071668579707e-05,9.96088858306735e-08,0.0999877949250207,0.1,2.59877066585135e-09,0.000246469999999952,0.000127188565677089,3.91114169326836e-10,0.0,0.0,0.0,0.0,1.210849473140928e-05,9.960327396019113e-08,0.0999877981223431,0.10000000319754354,2.5958389766151066e-09,0.00024647002916950876,2.9324029589485202e-12,1.317401725761898e-09,1.813505366090861e-15,7.349990948801437e-22,2.735187288571505e-29,5.632358505765793e-12,2.46004437217415e-06,9.84083163827685e-05,4.40678760315584e-08,3.14603637281763e-06,3.75389867698923e-10,1.76283222218164e-06,0.000125849820516654,1.5724301627913e-11
ph5p25_zn1e-07,5.25,1e-07,365.0,5.24619966280893,6.80913857574258e-06,9.89311196051516e-08,0.0999930524014506,0.1,4.63025808141159e-10,0.000246469999999918,0.000109568955879275,1.06888039484837e-09,0.0,0.0,0.0,0.0,6.811492471405398e-06,9.892119223822451e-08,0.0999930555988685,0.10000000319754354,4.6209798939093665e-10,0.0002464700286683676,9.279570431135715e-13,2.3418878155660773e-09,5.6915473566530916e-15,4.10058831687228e-21,2.7126531672337914e-28,9.943835111303375e-12,2.84242080146789e-06,0.000113717469087488,6.75617581822358e-08,2.73952822896987e-06,1.02590252655421e-09,2.70296085097171e-06,0.000109601019139854,4.2977868294161e-11
ph5p50_zn1e-07,5.5,1e-07,365.0,5.49620992412689,3.82611019807952e-06,9.71316675184248e-08,0.0999960130454969,0.1,8.24615095006104e-11,0.000246469999999862,9.31074622286358e-05,2.86833248157554e-09,0.0,0.0,0.0,0.0,3.830293178710853e-06,9.71143112962894e-08,0.09999601624296825,0.10000000319754354,8.21681042111561e-11,0.0002464700285096782,2.9343190474707986e-13,4.164629226454704e-09,1.7670335195939315e-14,2.2639709955358447e-20,2.6633558838592053e-27,1.7360334152946446e-11,3.18196711017375e-06,0.000127340674139337,9.79568845317256e-08,2.36786198799865e-06,2.75296788235215e-09,3.92018373610064e-06,9.47606091937511e-05,1.15364599223389e-10
ph5p75_zn1e-07,5.75,1e-07,365.0,5.74631094022305,2.1459935861144e-06,9.25589885513075e-08,0.0999976874113559,0.1,1.46943348002988e-11,0.000246469999999714,7.80846391996251e-05,7.4410114486924e-09,0.0,0.0,0.0,0.0,2.1534311917165998e-06,9.252953518629079e-08,0.09999769060885755,0.10000000319754354,1.4601591740678162e-11,0.0002464700284593619,9.274815732763422e-14,7.407597135875336e-09,5.3265250976367545e-14,1.21386687539907e-19,2.5399806524891518e-26,2.942092004240765e-11,3.47028139714113e-06,0.000138986747211874,1.3538896196451e-07,2.037727483925e-06,7.14151014647797e-09,5.42240506756274e-06,8.1612146756676e-05,2.99501302214428e-10
ph6p00_zn1e-07,6.0,1e-07,365.0,5.996474334367,1.19728315102548e-06,8.20650487894927e-08,0.0999986489853304,0.1,2.6229483394781e-12,0.000246469999999881,6.45977919898359e-05,1.79349512105075e-08,0.0,0.0,0.0,0.0,1.210507832001728e-06,8.201852510180006e-08,0.09999865218284909,0.10000000319754354,2.593641832069593e-12,0.0002464700284436643,2.930748095739273e-14,1.317773427104011e-08,1.494178049862346e-13,6.057491659711942e-19,2.254839096765399e-25,4.6392868490226744e-11,3.70313701381779e-06,0.000148577597578985,1.79438158518268e-07,1.75075242079294e-06,1.72118308677675e-08,7.19943399605121e-06,7.02438466748229e-05,7.23120342739958e-10
ph6p25_zn1e-07,6.25,1e-07,365.0,6.2466877166556,6.56875087791552e-07,6.27067167370102e-08,0.0999992238199146,0.1,4.69801177424725e-13,0.000246470000000065,5.26250947281005e-05,3.729328326299e-08,0.0,0.0,0.0,0.0,6.803841994125518e-07,6.264332830885362e-08,0.09999922701744432,0.10000000319754354,4.605426269765342e-13,0.00024647002843883494,9.258736274131153e-15,2.344520981197474e-08,3.612368113439047e-13,2.605528631439827e-18,1.7255674906536617e-24,6.304163764799462e-11,3.88008756444813e-06,0.000156191645789192,2.29073781194022e-07,1.50559320520476e-06,3.57848855490379e-08,9.22128954595523e-06,6.06071581333079e-05,1.50839771395206e-09
ph6p50_zn1e-07,6.5,1e-07,365.0,6.49694448079077,3.40595675857018e-07,3.80919525738839e-08,0.0999995869141164,0.1,8.46765886451615e-14,0.000246470000000232,4.2082543799348e-05,6.19080474261166e-08,0.0,0.0,0.0,0.0,3.8238201195116337e-07,3.8023181407336355e-08,0.09999959011165327,0.10000000319754354,8.175221477812504e-14,0.00024647002843742184,2.924409437637558e-15,4.171679015125409e-08,6.941912982040499e-13,8.909221898057629e-18,1.0498630020220358e-23,6.808600997840956e-11,4.00781048026464e-06,0.000162013610067634,2.82977206189629e-07,1.30035782648509e-06,5.9393925635699e-08,1.1439203268715e-05,5.25662744951937e-05,2.5141217904176e-09
ph6p75_zn1e-07,6.75,1e-07,365.0,6.74725092874061,1.40580923496877e-07,1.82608061933384e-08,0.0999998251446207,0.1,1.54305551418994e-14,0.000246470000000254,3.28525853732496e-05,8.17391938066612e-08,0.0,0.0,0.0,0.0,2.148775324415994e-07,1.8201758188700884e-08,0.09999982834216156,0.10000000319754354,1.4507086682035807e-14,0.00024647002843694495,9.23475323043884e-16,7.423647423231527e-08,1.0523420749974422e-12,2.4033886103979892e-17,5.0399162122995645e-23,5.8000162600835e-11,4.09969610489824e-06,0.000166292985285034,3.40012653738538e-07,1.13242181747492e-06,7.84088629659977e-08,1.37916854771222e-05,4.59336008804421e-05,3.33033084066355e-09
ph7p00_zn1e-07,7.0,1e-07,365.0,6.99762868076558,-1.14432575453287e-08,7.43780291973329e-09,0.0999999981220503,0.1,2.86456262354348e-15,0.000246470000000291,2.47775136634612e-05,9.25621970802664e-08,0.0,0.0,0.0,0.0,1.207294617046804e-07,7.39451296120365e-09,0.10000000131959379,0.10000000319754354,2.5730429687466838e-15,0.0002464700284368202,2.915209999527184e-16,1.3212807504334835e-07,1.3542804614993023e-12,5.504950908265564e-17,2.0546155784408274e-22,4.1937559985560535e-11,4.1662814668684e-06,0.000169308756631446,3.99089512116172e-07,9.96384300430615e-07,8.87841596142811e-08,1.62181431151855e-05,4.04909241874125e-05,3.77803746598528e-09
ph7p25_zn1e-07,7.25,1e-07,365.0,7.24809983025048,-1.67429148151697e-07,2.78707152706875e-09,0.100000163240546,0.1,5.48059370017851e-16,0.000246470000000131,1.76627929782486e-05,9.72129284729326e-08,0.0,0.0,0.0,0.0,6.781755557556975e-08,2.7576295870445355e-09,0.1000001664380925,0.10000000319754354,4.560723857056761e-16,0.00024647002843661026,9.198725519922363e-17,2.3521569443919032e-07,1.6005790970821682e-12,1.158225636217164e-16,7.695583737263002e-22,2.7842009847249165e-11,4.2127195925795e-06,0.000171333083366244,4.59188050297947e-07,8.85389780031998e-07,9.32420161998795e-08,1.86753717595999e-05,3.60091759365874e-05,3.97091227305313e-09
